Tanggal,Reaktif,Non-Reaktif,Total,Reaktif Positivity Rate
27/03/2020 ,124,10839,10963,1.13%
28/03/2020 ,149,11858,12007,1.24%
29/03/2020 ,206,14808,15014,1.37%
30/03/2020 ,290,17619,17909,1.62%
31/03/2020 ,307,18242,18549,1.66%
1/4/2020,360,19190,19550,1.84%
2/4/2020,442,20460,20902,2.11%
3/4/2020,541,21962,22503,2.40%
4/4/2020,583,23072,23655,2.46%
5/4/2020,589,23426,24015,2.45%
6/4/2020,718,25234,25952,2.77%
7/4/2020,829,26867,27696,2.99%
8/4/2020,949,29853,30802,3.08%
9/4/2020,1027,34056,35083,2.93%
10/4/2020,1065,34704,35769,2.98%
11/4/2020,1148,35245,36393,3.15%
12/4/2020,1203,35760,36963,3.25%
13/04/2020 ,1314,37560,38874,3.38%
14/04/2020 ,1395,39317,40712,3.43%
15/04/2020 ,1603,43624,45227,3.54%
16/04/2020 ,1791,45797,47588,3.76%
17/04/2020 ,2129,53863,55992,3.80%
18/04/2020 ,2265,56352,58617,3.86%
19/04/2020 ,2313,56409,58722,3.94%
20/04/2020 ,2248,59852,62100,3.62%
21/04/2020 ,2365,61181,63546,3.72%
22/04/2020 ,2687,66669,69356,3.87%
23/04/2020 ,2842,67986,70828,4.01%
24/04/2020 ,2849,69121,71970,3.96%
25/04/2020 ,2879,69536,72415,3.98%
26/04/2020 ,2881,69737,72618,3.97%
27/04/2020 ,2954,71831,74785,3.95%
28/04/2020 ,2954,73993,76947,3.84%
29/04/2020 ,2962,74709,77671,3.81%
30/04/2020 ,3022,76130,79152,3.82%
1/5/2020,3044,76636,79680,3.82%
2/5/2020,3050,76864,79914,3.82%
3/5/2020,3056,77136,80192,3.81%
4/5/2020,3103,78265,81368,3.81%
5/5/2020,3117,79152,82269,3.79%
6/5/2020,3155,79497,82652,3.82%
7/5/2020,3176,80016,83192,3.82%
8/5/2020,3358,81466,84824,3.96%
9/5/2020,3480,83534,87014,4.00%
10/5/2020,3505,84447,87952,3.99%
11/5/2020,3646,89780,93426,3.90%
12/5/2020,3671,91630,95301,3.85%
13/05/2020 ,3703,93045,96748,3.83%
14/05/2020 ,3745,94083,97828,3.83%
15/05/2020 ,3804,95412,99216,3.83%
16/05/2020 ,3808,96007,99815,3.82%
17/05/2020 ,3842,96521,100363,3.83%
18/05/2020 ,3918,102289,106207,3.69%
19/05/2020 ,4153,105937,110090,3.77%
20/05/2020 ,4213,106929,111142,3.79%
21/05/2020 ,4329,108976,113305,3.82%
22/05/2020 ,4411,110529,114940,3.84%
23/05/2020 ,4421,110621,115042,3.84%
24/05/2020 ,4439,111423,115862,3.83%
25/05/2020 ,4494,112442,116936,3.84%
26/05/2020 ,5627,128227,133854,4.20%
27/05/2020 ,5665,131189,136854,4.14%
28/05/2020 ,5665,133489,139154,4.07%
29/05/2020 ,5675,136007,141682,4.01%
30/05/2020 ,5675,137077,142752,3.98%
31/05/2020 ,5682,137409,143091,3.97%
1/6/2020,5683,137684,143367,3.96%
2/6/2020,5974,154257,160231,3.73%
3/6/2020,5979,155752,161731,3.70%
4/6/2020,6000,158139,164139,3.66%
5/6/2020,6121,159128,165249,3.70%
6/6/2020,6130,159792,165922,3.69%
7/6/2020,6139,160202,166341,3.69%
8/6/2020,6232,164146,170378,3.66%
9/6/2020,6265,164828,171093,3.66%
10/6/2020,6432,167126,173558,3.71%
11/6/2020,6432,167708,174140,3.69%
12/6/2020,6623,172012,178635,3.71%
13/06/2020 ,6623,172590,179213,3.70%
14/06/2020 ,6633,172889,179522,3.69%
15/06/2020 ,6640,173219,179859,3.69%
16/06/2020 ,6811,177894,184705,3.69%
17/06/2020 ,6817,178254,185071,3.68%
18/06/2020 ,6843,181600,188443,3.63%
19/06/2020 ,7086,188348,195434,3.63%
20/06/2020 ,7086,188950,196036,3.61%
21/06/2020 ,7100,189240,196340,3.62%
22/06/2020 ,7100,189240,196340,3.62%
23/06/2020 ,7394,204935,212329,3.48%
24/06/2020 ,7832,205376,213208,3.67%
25/06/2020 ,7839,205988,213827,3.67%
26/06/2020 ,7952,219371,227323,3.50%
27/06/2020 ,8074,222721,230795,3.50%
28/06/2020 ,8084,222784,230868,3.50%
29/06/2020 ,8145,224821,232966,3.50%
30/06/2020 ,8326,230470,238796,3.49%
1/7/2020,8355,231881,240236,3.48%
2/7/2020,8449,234561,243010,3.48%
3/7/2020,8569,237735,246304,3.48%
4/7/2020,8598,240126,248724,3.46%
5/7/2020,8700,242564,251264,3.46%
6/7/2020,8925,247222,256147,3.48%
7/7/2020,8947,247656,256603,3.49%
8/7/2020,9037,251184,260221,3.47%
9/7/2020,9149,253593,262742,3.48%
10/7/2020,9191,256150,265341,3.46%
11/7/2020,9197,257344,266541,3.45%
12/7/2020,9229,260151,269380,3.43%
13/07/2020 ,9239,260191,269430,3.43%
14/07/2020 ,9524,262739,272263,3.50%
15/07/2020 ,9577,263901,273478,3.50%
16/07/2020 ,9586,264909,274495,3.49%
17/07/2020 ,9706,267242,276948,3.50%
18/07/2020 ,9706,269414,279120,3.48%
19/07/2020 ,9715,269528,279243,3.48%
20/07/2020 ,9782,270280,280062,3.49%
21/07/2020 ,9794,270498,280292,3.49%
22/07/2020 ,10031,274202,284233,3.53%
23/07/2020 ,10031,274202,284233,3.53%
24/07/2020 ,10428,283882,294310,3.54%
25/07/2020 ,10438,284634,295072,3.54%
26/07/2020 ,10442,285630,296072,3.53%
27/07/2020 ,10674,289873,300547,3.55%
28/07/2020 ,10853,296645,307498,3.53%
29/07/2020 ,10863,298637,309500,3.51%
30/07/2020 ,10863,298637,309500,3.51%
31/07/2020 ,10865,298785,309650,3.51%
1/8/2020,10870,298930,309800,3.51%
2/8/2020,10894,300910,311804,3.49%
3/8/2020,11101,307199,318300,3.49%
4/8/2020,11133,308068,319201,3.49%
5/8/2020,11896,308815,320711,3.71%
6/8/2020,12507,317293,329800,3.79%
7/8/2020,12541,317973,330514,3.79%
8/8/2020,12617,319890,332507,3.79%
9/8/2020,12627,320854,333481,3.79%
10/8/2020,12646,321776,334422,3.78%
11/8/2020,12646,322779,335425,3.77%
12/8/2020,12812,327668,340480,3.76%
13/08/2020 ,12820,328088,340908,3.76%
14/08/2020 ,12836,328257,341093,3.76%
15/08/2020 ,12836,329362,342198,3.75%
16/08/2020 ,12836,329662,342498,3.75%
17/08/2020 ,12841,330273,343114,3.74%
18/08/2020 ,12841,334434,347275,3.70%
19/08/2020 ,12841,334581,347422,3.70%
20/08/2020 ,12845,335677,348522,3.69%
21/08/2020 ,12845,336177,349022,3.68%
22/08/2020 ,12850,336372,349222,3.68%
23/08/2020 ,12852,336570,349422,3.68%
24/08/2020 ,13064,338869,351933,3.71%
25/08/2020 ,13092,339240,352332,3.72%
26/08/2020 ,13092,339240,352332,3.72%
27/08/2020 ,13092,339240,352332,3.72%
28/08/2020 ,13757,349105,362862,3.79%
29/08/2020 ,13760,349202,362962,3.79%
30/08/2020 ,13764,349298,363062,3.79%
31/08/2020 ,13764,349933,363697,3.78%
1/9/2020,13792,352905,366697,3.76%
2/9/2020,13804,354893,368697,3.74%
3/9/2020,14646,368144,382790,3.83%
4/9/2020,14656,368244,382900,3.83%
5/9/2020,14660,368540,383200,3.83%
6/9/2020,14772,369206,383978,3.85%
7/9/2020,15180,374949,390129,3.89%
8/9/2020,15182,375250,390432,3.89%
9/9/2020,15190,376242,391432,3.88%
10/9/2020,15210,378222,393432,3.87%
11/9/2020,15210,379327,394537,3.86%
12/9/2020,15214,379523,394737,3.85%
13/09/2020 ,15230,380353,395583,3.85%
14/09/2020 ,15255,381328,396583,3.85%
15/09/2020 ,15265,381818,397083,3.84%
16/09/2020 ,15270,382013,397283,3.84%
17/09/2020 ,15275,382108,397383,3.84%
18/09/2020 ,15250,383083,398333,3.83%
19/09/2020 ,15250,383183,398433,3.83%
20/09/2020 ,15350,384083,399433,3.84%
21/09/2020 ,15360,384173,399533,3.84%
22/09/2020 ,15370,384363,399733,3.85%
23/09/2020 ,15375,384458,399833,3.85%
24/09/2020 ,15385,384298,399683,3.85%
25/09/2020 ,15485,385198,400683,3.86%
26/09/2020 ,15505,386178,401683,3.86%
27/09/2020 ,15555,387128,402683,3.86%
28/09/2020 ,15559,387324,402883,3.86%
29/09/2020 ,24624,531971,556595,4.42%
30/09/2020 ,24624,531971,556595,4.42%
1/10/2020,24630,532965,557595,4.42%
2/10/2020,24635,533160,557795,4.42%
3/10/2020,24640,533355,557995,4.42%
4/10/2020,24670,534325,558995,4.41%
5/10/2020,25486,540285,565771,4.50%
6/10/2020,25486,540285,565771,4.50%
7/10/2020,25497,540463,565960,4.51%
8/10/2020,25500,540560,566060,4.50%
9/10/2020,25520,541540,567060,4.50%
10/10/2020,25525,541635,567160,4.50%
11/10/2020,25525,541735,567260,4.50%
12/10/2020,25545,542715,568260,4.50%
13/10/2020 ,25609,542715,568324,4.51%
14/10/2020 ,25612,543968,569580,4.50%
15/10/2020 ,25672,544149,569821,4.51%
16/10/2020 ,25672,544249,569921,4.50%
17/10/2020 ,25672,544299,569971,4.50%
18/10/2020 ,25672,544299,569971,4.50%
19/10/2020 ,25975,545096,571071,4.55%
20/10/2020 ,25975,545196,571171,4.55%
21/10/2020 ,26301,545872,572173,4.60%
22/10/2020 ,26301,545872,572173,4.60%
23/10/2020 ,26301,545972,572273,4.60%
24/10/2020 ,26301,545972,572273,4.60%
25/10/2020 ,26321,546952,573273,4.59%
26/10/2020 ,26321,547052,573373,4.59%
27/10/2020 ,26321,547152,573473,4.59%
28/10/2020 ,26321,547252,573573,4.59%
29/10/2020 ,26321,547352,573673,4.59%
30/10/2020 ,26321,547452,573773,4.59%
31/10/2020 ,26321,547552,573873,4.59%
1/11/2020,26321,547652,573973,4.59%
2/11/2020,26897,555445,582342,4.62%
3/11/2020,26897,555545,582442,4.62%
4/11/2020,26897,555645,582542,4.62%
5/11/2020,26897,555745,582642,4.62%
6/11/2020,26897,555845,582742,4.62%
7/11/2020,26897,555945,582842,4.61%
8/11/2020,26897,556045,582942,4.61%
9/11/2020,26897,556145,583042,4.61%
10/11/2020,26897,556245,583142,4.61%
11/11/2020,26897,556345,583242,4.61%
12/11/2020,26897,556445,583342,4.61%
13/11/2020 ,26897,556545,583442,4.61%
14/11/2020 ,26897,556645,583542,4.61%
15/11/2020 ,26897,556645,583542,4.61%
16/11/2020 ,29545,590879,620424,4.76%
17/11/2020 ,29545,590979,620524,4.76%
18/11/2020 ,29545,591079,620624,4.76%
19/11/2020 ,29545,591179,620724,4.76%
20/11/2020 ,29545,591279,620824,4.76%
21/11/2020 ,29545,591379,620924,4.76%
22/11/2020 ,29545,591479,621024,4.76%
23/11/2020 ,29690,591925,621615,4.78%
24/11/2020 ,31049,597933,628982,4.94%
25/11/2020 ,31049,597933,628982,4.94%
26/11/2020 ,31072,598070,629142,4.94%
27/11/2020 ,31072,598170,629242,4.94%
28/11/2020 ,31072,598270,629342,4.94%
29/11/2020 ,31072,598370,629442,4.94%
30/11/2020 ,31072,598470,629542,4.94%
1/12/2020,31072,598570,629642,4.93%
2/12/2020,31072,598670,629742,4.93%
3/12/2020,32351,607588,639939,5.06%
4/12/2020,32351,607638,639989,5.05%
5/12/2020,32351,607738,640089,5.05%
6/12/2020,32351,607838,640189,5.05%
7/12/2020,32351,607938,640289,5.05%
8/12/2020,32351,608038,640389,5.05%
9/12/2020,32411,608278,640689,5.06%
10/12/2020,32424,608047,640471,5.06%
11/12/2020,32424,608147,640571,5.06%
12/12/2020,32424,608247,640671,5.06%
